3.0,3.0,42.0,2.0,0.0,1.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,2781.0,12.0,6.517,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3.0,3.0,42.0,2.0,0.0,1.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,2781.0,12.0,6.5,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3.0,3.0,42.0,2.0,0.0,1.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,2781.0,12.0,6.5,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3.0,3.0,42.0,2.0,0.0,1.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,2781.0,12.0,6.5,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3.0,3.0,42.0,2.0,0.0,1.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,2781.0,12.0,6.5,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3.0,3.0,42.0,2.0,0.0,1.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,2781.0,12.0,6.5,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
6.0,73.0,1423.0,41.0,28.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,535.0,28.0,12.0,5.0,15.0,25.0,1.0,1.0,1.0,5.0,17.0,17.0,1997.0,41.0,26.537,0.0,0.0,0.0,1.0,0.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
6.0,75.0,1486.0,42.0,29.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,566.0,29.0,12.0,5.0,15.0,25.0,1.0,1.0,1.0,5.0,5.0,17.0,2180.0,42.0,28.197,0.0,0.0,0.0,1.0,0.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
6.0,73.0,1421.0,41.0,28.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,535.0,28.0,12.0,5.0,15.0,25.0,1.0,1.0,1.0,5.0,17.0,17.0,1997.0,41.0,25.967,0.0,0.0,0.0,1.0,0.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
6.0,75.0,1486.0,42.0,29.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,566.0,29.0,12.0,5.0,15.0,25.0,1.0,1.0,1.0,5.0,5.0,17.0,2180.0,42.0,28.197,0.0,0.0,0.0,1.0,0.0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
