#WinZip
exe,10
zip,8
diz,7
dll,5
html,3
null,2
pif,2
gif,1
txt,1
chm,1
com,1
hlp,1
#WinZip 2
exe,10
zip,8
diz,7
dll,5
html,3
null,2
pif,2
gif,1
txt,1
chm,1
com,1
hlp,1
#Winzip 3
exe,10
zip,8
diz,7
dll,5
html,3
null,2
pif,2
gif,1
txt,1
chm,1
com,1
hlp,1
#Winzip 4
exe,10
zip,8
diz,7
dll,5
html,3
null,2
pif,2
gif,1
txt,1
chm,1
com,1
hlp,1
#Winzip 5
exe,10
zip,8
diz,7
dll,5
html,3
null,2
pif,2
gif,1
txt,1
chm,1
com,1
hlp,1
#Winzip 6
exe,10
zip,8
diz,7
dll,5
html,3
null,2
pif,2
gif,1
txt,1
chm,1
com,1
hlp,1
