#MCafee
exe,356
au,76
diz,55
zip,45
pdf,31
pub,20
spp,15
wsdl,11
env,9
ini,9
mod,7
manifest,6
pak,4
msp,3
gz,3
bof,2
msi,2
txt,1
html,1
ts,1
ppd,1
xlsx,1
new,1
#MCafee 2
exe,340
au,76
diz,55
zip,42
pdf,31
pub,20
spp,15
wsdl,11
env,9
ini,9
mod,7
manifest,6
pak,4
ts,3
gz,3
msp,2
url,2
txt,1
bof,1
new,1
#MCafee 3
exe,356
au,76
diz,55
zip,44
pdf,31
pub,20
spp,15
wsdl,11
ini,9
env,8
mod,7
manifest,6
pak,4
ts,3
gz,3
msp,2
msi,2
url,2
txt,1
ppd,1
xlsx,1
bof,1
new,1
#MCafee 4
exe,356
au,76
diz,55
zip,45
pdf,31
pub,20
spp,15
wsdl,11
env,9
ini,9
mod,7
manifest,6
pak,4
ts,3
bof,3
msp,3
gz,3
msi,2
url,2
txt,1
ppd,1
xlsx,1
new,1
#MCafee 5
exe,356
au,76
diz,55
zip,44
pdf,31
pub,20
spp,15
wsdl,11
ini,9
env,8
mod,7
manifest,6
pak,4
ts,3
gz,3
msp,2
msi,2
url,2
txt,1
ppd,1
xlsx,1
bof,1
new,1
