#Adobe Reader
exe,40
dll,38
bin,21
diz,20
x3d,14
zip,12
sig,8
mpp,6
pmp,4
htm,3
pfm,3
xdc,3
der,2
vim,2
nl,2
manifest,2
otf,1
cer,1
spi,1
acx,1
cfg,1
txt,1
css,1
pfb,1
spp,1
pak,1
ini,1
pdf,1
api,1
#Adobe Reader 2
exe,40
dll,38
bin,21
diz,20
x3d,14
zip,12
sig,8
mpp,6
pmp,4
htm,3
pfm,3
xdc,3
der,2
vim,2
nl,2
manifest,2
otf,1
cer,1
spi,1
acx,1
cfg,1
css,1
txt,1
pfb,1
spp,1
pak,1
ini,1
pdf,1
api,1
# Adobe Reader 3
exe,40
dll,38
bin,21
diz,20
x3d,14
zip,12
sig,8
mpp,6
pmp,4
htm,3
pfm,3
xdc,3
der,2
vim,2
nl,2
manifest,2
otf,1
cer,1
spi,1
acx,1
cfg,1
txt,1
css,1
pfb,1
spp,1
pak,1
ini,1
pdf,1
api,1
#Adobe Reader 4
dll,38
exe,33
diz,25
bin,21
x3d,14
zip,11
sig,8
mpp,6
fca,4
pmp,4
htm,3
pfm,3
apl,3
hyp,3
hsp,3
clx,3
xdc,3
der,2
vim,2
manifest,2
otf,1
cer,1
acx,1
cfg,1
txt,1
css,1
pfb,1
spp,1
dat,1
s,1
prc,1
ths,1
pak,1
ini,1
pdf,1
api,1
#Adobe Reader 5
dll,38
exe,37
bin,21
diz,20
x3d,14
zip,11
sig,8
mpp,6
pmp,4
htm,3
pfm,3
xdc,3
der,2
vim,2
manifest,2
otf,1
cer,1
acx,1
cfg,1
txt,1
css,1
pfb,1
spp,1
pak,1
ini,1
pdf,1
api,1
